crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.360080	403	1225188096.000000
281474976710655.000000	6.994387	404	1226219904.000000
281474976710655.000000	7.272694	405	1227277440.000000
281474976710655.000000	6.592207	406	1228309248.000000
281474976710655.000000	6.871678	407	1229367808.000000
281474976710655.000000	7.095707	408	1230398336.000000
281474976710655.000000	7.361868	409	1231458048.000000
281474976710655.000000	7.250021	410	1232487168.000000
281474976710655.000000	7.220567	411	1233547904.000000
281474976710655.000000	7.429154	412	1234575488.000000
281474976710655.000000	7.362189	413	1235638144.000000
281474976710655.000000	7.617549	414	1236664192.000000
281474976710655.000000	7.396523	415	1237728384.000000
281474976710655.000000	7.554065	416	1238752384.000000
281474976710655.000000	7.285715	417	1239818752.000000
281474976710655.000000	6.935806	418	1240841088.000000
281474976710655.000000	7.012009	419	1241908096.000000
281474976710655.000000	7.042310	420	1242930560.000000
281474976710655.000000	7.088515	421	1243997440.000000
281474976710655.000000	7.244653	422	1245019904.000000
281474976710655.000000	7.633676	423	1246086144.000000
281474976710655.000000	6.895266	424	1247110400.000000
281474976710655.000000	7.363605	425	1248174720.000000
281474976710655.000000	7.427309	426	1249200640.000000
281474976710655.000000	7.125680	427	1250262528.000000
281474976710655.000000	7.300128	428	1251291648.000000
281474976710655.000000	7.547657	429	1252350848.000000
281474976710655.000000	7.348542	430	1253382272.000000
281474976710655.000000	7.898391	431	1254438528.000000
281474976710655.000000	7.927393	432	1255472640.000000
281474976710655.000000	7.631145	433	1256526592.000000
281474976710655.000000	7.743386	434	1257563392.000000
281474976710655.000000	7.662480	435	1258614656.000000
281474976710655.000000	8.086209	436	1259653632.000000
281474976710655.000000	7.959386	437	1260703360.000000
281474976710655.000000	7.797042	438	1261743744.000000
281474976710655.000000	7.553516	439	1262791936.000000
281474976710655.000000	8.016974	440	1263833088.000000
281474976710655.000000	7.609715	441	1264881536.000000
281474976710655.000000	7.744205	442	1265922304.000000
281474976710655.000000	7.883240	443	1266970624.000000
281474976710655.000000	7.805268	444	1268011776.000000
281474976710655.000000	7.804804	445	1269059968.000000
281474976710655.000000	7.978880	446	1270100480.000000
281474976710655.000000	8.092157	447	1271149696.000000
281474976710655.000000	8.045353	448	1272189312.000000
281474976710655.000000	7.903777	449	1273239680.000000
281474976710655.000000	7.714094	450	1274277888.000000
281474976710655.000000	7.807505	451	1275329792.000000
281474976710655.000000	7.716023	452	1276366208.000000
281474976710655.000000	7.810350	453	1277420032.000000
281474976710655.000000	8.036236	454	1278454016.000000
281474976710655.000000	7.685497	455	1279510400.000000
281474976710655.000000	8.022954	456	1280541824.000000
281474976710655.000000	7.521336	457	1281601024.000000
281474976710655.000000	7.684042	458	1282629760.000000
281474976710655.000000	7.791908	459	1283691136.000000
281474976710655.000000	7.558631	460	1284718336.000000
281474976710655.000000	7.327120	461	1285782016.000000
281474976710655.000000	7.964675	462	1286806784.000000
281474976710655.000000	7.736597	463	1287872384.000000
281474976710655.000000	7.494176	464	1288895104.000000
281474976710655.000000	7.806630	465	1289962112.000000
281474976710655.000000	7.140428	466	1290984448.000000
281474976710655.000000	7.527357	467	1292051328.000000
281474976710655.000000	7.866856	468	1293073664.000000
281474976710655.000000	7.746674	469	1294140288.000000
281474976710655.000000	7.593966	470	1295163520.000000
281474976710655.000000	8.025042	471	1296228736.000000
281474976710655.000000	7.820366	472	1297252992.000000
281474976710655.000000	7.788039	473	1298317568.000000
281474976710655.000000	8.165225	474	1299343104.000000
281474976710655.000000	8.015651	475	1300406144.000000
281474976710655.000000	7.945707	476	1301432960.000000
281474976710655.000000	7.974540	477	1302494720.000000
281474976710655.000000	8.006691	478	1303522432.000000
281474976710655.000000	7.932765	479	1304583424.000000
281474976710655.000000	7.914169	480	1305611776.000000
281474976710655.000000	8.081100	481	1306672512.000000
281474976710655.000000	7.948192	482	1307701248.000000
281474976710655.000000	8.061908	483	1308761600.000000
281474976710655.000000	8.135311	484	1309790336.000000
281474976710655.000000	7.979514	485	1310850944.000000
281474976710655.000000	7.854215	486	1311879424.000000
281474976710655.000000	8.166642	487	1312940544.000000
281474976710655.000000	7.928308	488	1313968256.000000
281474976710655.000000	8.010123	489	1315030400.000000
281474976710655.000000	8.195570	490	1316056960.000000
281474976710655.000000	7.965480	491	1317120128.000000
281474976710655.000000	8.126516	492	1318145408.000000
281474976710655.000000	8.171452	493	1319209856.000000
281474976710655.000000	7.876783	494	1320234240.000000
281474976710655.000000	7.706335	495	1321299328.000000
281474976710655.000000	8.033604	496	1322323200.000000
281474976710655.000000	8.166009	497	1323389056.000000
281474976710655.000000	7.931375	498	1324411648.000000
281474976710655.000000	8.002810	499	1325478144.000000
281474976710655.000000	7.768389	500	1326501120.000000
281474976710655.000000	7.662643	501	1327567104.000000
281474976710655.000000	7.857750	502	1328590976.000000
281474976710655.000000	7.803305	503	1329655680.000000
281474976710655.000000	7.740399	504	1330680704.000000
281474976710655.000000	8.103184	505	1331744384.000000
281474976710655.000000	7.940340	506	1332770560.000000
281474976710655.000000	7.779495	507	0.000000
281474976710655.000000	7.902938	508	0.000000
281474976710655.000000	7.317537	509	0.000000
281474976710655.000000	7.330495	510	0.000000
281474976710655.000000	7.577113	511	0.000000
281474976710655.000000	7.333046	512	0.000000
281474976710655.000000	7.148297	513	0.000000
281474976710655.000000	7.273997	514	0.000000
281474976710655.000000	7.251898	515	0.000000
281474976710655.000000	7.075587	516	0.000000
281474976710655.000000	7.220949	517	0.000000
281474976710655.000000	7.319705	518	0.000000
281474976710655.000000	7.178971	519	0.000000
281474976710655.000000	7.425625	520	0.000000
281474976710655.000000	7.048693	521	0.000000
281474976710655.000000	7.010728	522	0.000000
281474976710655.000000	6.602504	523	0.000000
281474976710655.000000	6.741668	524	0.000000
281474976710655.000000	6.699340	525	0.000000
281474976710655.000000	6.882074	526	0.000000
281474976710655.000000	6.803737	527	0.000000
281474976710655.000000	6.931760	528	0.000000
281474976710655.000000	6.675446	529	0.000000
281474976710655.000000	6.746759	530	0.000000
281474976710655.000000	6.741933	531	0.000000
281474976710655.000000	6.547814	532	0.000000
281474976710655.000000	6.688812	533	0.000000
281474976710655.000000	6.794286	534	0.000000
281474976710655.000000	6.500785	535	0.000000
281474976710655.000000	6.658074	536	0.000000
