crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.527274	1919	3378383616.000000
281474976710655.000000	5.633605	1920	3379400448.000000
281474976710655.000000	5.570525	1921	3380471040.000000
281474976710655.000000	5.551972	1922	3381489152.000000
281474976710655.000000	5.598137	1923	3382558464.000000
281474976710655.000000	5.714265	1924	3383577600.000000
281474976710655.000000	5.811598	1925	3384646144.000000
281474976710655.000000	5.721940	1926	3385667072.000000
281474976710655.000000	5.647503	1927	3386733056.000000
281474976710655.000000	5.553963	1928	3387755776.000000
281474976710655.000000	5.610784	1929	3388820224.000000
281474976710655.000000	5.756748	1930	3389844480.000000
281474976710655.000000	5.609917	1931	3390907648.000000
281474976710655.000000	5.658846	1932	3391933952.000000
281474976710655.000000	5.962988	1933	3392995328.000000
281474976710655.000000	5.616223	1934	3394022400.000000
281474976710655.000000	5.798005	1935	3395083264.000000
281474976710655.000000	5.928570	1936	3396110848.000000
281474976710655.000000	5.563181	1937	3397170688.000000
281474976710655.000000	5.626800	1938	3398199552.000000
281474976710655.000000	5.886948	1939	3399258880.000000
281474976710655.000000	5.636086	1940	3400287488.000000
281474976710655.000000	5.831807	1941	3401346560.000000
281474976710655.000000	5.757279	1942	3402375680.000000
281474976710655.000000	5.641710	1943	3403435008.000000
281474976710655.000000	5.655162	1944	3404464128.000000
281474976710655.000000	5.773676	1945	3405523200.000000
281474976710655.000000	5.726523	1946	3406551808.000000
281474976710655.000000	5.761756	1947	3407611648.000000
281474976710655.000000	5.646011	1948	3408639744.000000
281474976710655.000000	5.659103	1949	3409700352.000000
281474976710655.000000	5.748135	1950	3410726912.000000
281474976710655.000000	5.723578	1951	3411789312.000000
281474976710655.000000	5.596904	1952	3412814592.000000
281474976710655.000000	5.731285	1953	3413877760.000000
281474976710655.000000	5.690149	1954	3414902016.000000
281474976710655.000000	5.445750	1955	3415966720.000000
281474976710655.000000	5.772678	1956	3416989440.000000
281474976710655.000000	5.722509	1957	3418055424.000000
281474976710655.000000	5.758463	1958	3419077120.000000
281474976710655.000000	5.682228	1959	3420144896.000000
281474976710655.000000	5.669388	1960	3421164288.000000
281474976710655.000000	5.569037	1961	3422233344.000000
281474976710655.000000	5.576243	1962	3423251712.000000
281474976710655.000000	5.611545	1963	3424322816.000000
281474976710655.000000	5.617422	1964	3425339136.000000
281474976710655.000000	5.748064	1965	3426411008.000000
281474976710655.000000	5.847799	1966	3427426816.000000
281474976710655.000000	5.535020	1967	3428499456.000000
281474976710655.000000	5.772810	1968	3429514752.000000
281474976710655.000000	5.648768	1969	3430588160.000000
281474976710655.000000	5.573531	1970	3431602688.000000
281474976710655.000000	5.635458	1971	3432676608.000000
281474976710655.000000	5.671050	1972	3433690624.000000
281474976710655.000000	5.788660	1973	3434765312.000000
281474976710655.000000	6.047737	1974	3435778304.000000
281474976710655.000000	5.353988	1975	3436852992.000000
281474976710655.000000	5.693030	1976	3437866496.000000
281474976710655.000000	5.586087	1977	3438940928.000000
281474976710655.000000	5.769866	1978	3439955200.000000
281474976710655.000000	5.818432	1979	3441029120.000000
281474976710655.000000	5.828764	1980	3442043392.000000
281474976710655.000000	5.756863	1981	3443116288.000000
281474976710655.000000	5.588736	1982	3444131840.000000
281474976710655.000000	5.586212	1983	3445204480.000000
281474976710655.000000	5.686592	1984	3446220544.000000
281474976710655.000000	5.612493	1985	3447292160.000000
281474976710655.000000	5.581688	1986	3448308992.000000
281474976710655.000000	5.625887	1987	3449379584.000000
281474976710655.000000	5.683823	1988	3450398464.000000
281474976710655.000000	5.681412	1989	3451467008.000000
281474976710655.000000	5.712069	1990	3452486912.000000
281474976710655.000000	5.663899	1991	3453554432.000000
281474976710655.000000	5.537869	1992	3454575872.000000
281474976710655.000000	5.560291	1993	3455642112.000000
281474976710655.000000	5.767451	1994	3456664832.000000
281474976710655.000000	5.727612	1995	3457729536.000000
281474976710655.000000	5.702807	1996	3458753536.000000
281474976710655.000000	5.771192	1997	3459816960.000000
281474976710655.000000	5.549636	1998	3460841984.000000
281474976710655.000000	5.679412	1999	3461904640.000000
281474976710655.000000	5.729484	2000	3462930688.000000
281474976710655.000000	5.752073	2001	3463992576.000000
281474976710655.000000	5.787583	2002	3465019136.000000
281474976710655.000000	5.734002	2003	3466080512.000000
281474976710655.000000	5.671844	2004	3467107584.000000
281474976710655.000000	5.765602	2005	3468168704.000000
281474976710655.000000	5.614759	2006	3469196032.000000
281474976710655.000000	5.658928	2007	3470256640.000000
281474976710655.000000	5.640336	2008	3471283968.000000
281474976710655.000000	5.588128	2009	3472344832.000000
281474976710655.000000	5.797557	2010	3473371904.000000
281474976710655.000000	5.678389	2011	3474433024.000000
281474976710655.000000	5.838579	2012	3475459584.000000
281474976710655.000000	5.772067	2013	3476521472.000000
281474976710655.000000	5.409258	2014	3477547264.000000
281474976710655.000000	5.534504	2015	3478610176.000000
281474976710655.000000	5.743633	2016	3479635200.000000
281474976710655.000000	5.527279	2017	3480699136.000000
281474976710655.000000	5.756896	2018	3481722880.000000
281474976710655.000000	5.710092	2019	3482787584.000000
281474976710655.000000	5.653147	2020	3483810048.000000
281474976710655.000000	5.690987	2021	3484876288.000000
281474976710655.000000	5.628871	2022	3485897728.000000
281474976710655.000000	5.715459	2023	3486964992.000000
281474976710655.000000	5.561526	2024	3487985408.000000
281474976710655.000000	5.597866	2025	3489053696.000000
281474976710655.000000	5.485528	2026	3490072576.000000
281474976710655.000000	5.581922	2027	3491141632.000000
281474976710655.000000	5.871619	2028	3492160256.000000
281474976710655.000000	5.505949	2029	3493231616.000000
281474976710655.000000	5.697404	2030	3494248192.000000
281474976710655.000000	5.778369	2031	3495319808.000000
281474976710655.000000	5.798678	2032	3496336384.000000
281474976710655.000000	5.666807	2033	3497407488.000000
281474976710655.000000	5.580546	2034	3498424320.000000
281474976710655.000000	5.934562	2035	3499496192.000000
281474976710655.000000	5.876686	2036	3500511488.000000
281474976710655.000000	5.674691	2037	3501584640.000000
281474976710655.000000	5.714166	2038	3502599936.000000
281474976710655.000000	5.576748	2039	3503673088.000000
281474976710655.000000	5.724937	2040	3504687872.000000
281474976710655.000000	5.702866	2041	3505761280.000000
281474976710655.000000	5.794986	2042	3506776064.000000
281474976710655.000000	5.571378	2043	3507848960.000000
281474976710655.000000	5.750373	2044	3508864512.000000
281474976710655.000000	5.660116	2045	3509936896.000000
281474976710655.000000	5.761230	2046	3510953216.000000
281474976710655.000000	5.572603	2047	3512024832.000000
281474976710655.000000	5.650111	2048	3513041408.000000
281474976710655.000000	5.682325	2049	3514112256.000000
281474976710655.000000	5.530040	2050	3515129856.000000
281474976710655.000000	5.765655	2051	3516199936.000000
281474976710655.000000	5.707014	2052	3517219584.000000
281474976710655.000000	5.613174	2053	3518287616.000000
281474976710655.000000	5.737611	2054	3519308032.000000
281474976710655.000000	5.732352	2055	3520375040.000000
281474976710655.000000	5.638685	2056	3521396480.000000
281474976710655.000000	5.838413	2057	3522462720.000000
281474976710655.000000	5.877926	2058	3523485184.000000
281474976710655.000000	5.770392	2059	3524550144.000000
281474976710655.000000	5.633695	2060	3525573888.000000
281474976710655.000000	5.729426	2061	3526637824.000000
281474976710655.000000	5.452427	2062	3527662848.000000
281474976710655.000000	5.697937	2063	3528725504.000000
281474976710655.000000	5.798313	2064	3529751296.000000
281474976710655.000000	5.684448	2065	3530813440.000000
281474976710655.000000	5.618578	2066	3531839744.000000
281474976710655.000000	5.675893	2067	3532901120.000000
281474976710655.000000	5.472932	2068	3533928192.000000
281474976710655.000000	6.015110	2069	3534989312.000000
281474976710655.000000	5.583738	2070	3536016384.000000
281474976710655.000000	5.507125	2071	3537077248.000000
281474976710655.000000	5.719025	2072	3538104832.000000
281474976710655.000000	5.616095	2073	3539166208.000000
281474976710655.000000	5.757043	2074	3540192512.000000
281474976710655.000000	5.624415	2075	3541253888.000000
281474976710655.000000	5.729882	2076	3542280192.000000
281474976710655.000000	5.787304	2077	3543342848.000000
281474976710655.000000	5.750493	2078	3544368128.000000
281474976710655.000000	5.626782	2079	3545431040.000000
281474976710655.000000	5.722854	2080	3546456320.000000
281474976710655.000000	5.813421	2081	3547519232.000000
281474976710655.000000	5.800189	2082	3548544000.000000
281474976710655.000000	5.726789	2083	3549607936.000000
281474976710655.000000	5.569685	2084	3550631168.000000
281474976710655.000000	5.555510	2085	3551696640.000000
281474976710655.000000	5.667330	2086	3552719104.000000
281474976710655.000000	5.588051	2087	3553785344.000000
281474976710655.000000	5.814564	2088	3554806528.000000
281474976710655.000000	5.735291	2089	3555874304.000000
